nprobe,expected_total,expected_fraud_count,expected_legit_count,expected_fraud_rate,expected_legit_rate,expected_edge_case_count,expected_edge_case_rate,p99,scoring_false_positive_detections,scoring_false_negative_detections,scoring_true_positive_detections,scoring_true_negative_detections,scoring_http_errors,scoring_failure_rate,scoring_weighted_errors_E,scoring_error_rate_epsilon,scoring_p99_score_value,scoring_p99_score_cut_triggered,scoring_detection_score_value,scoring_detection_score_cut_triggered,scoring_detection_score_rate_component,scoring_detection_score_absolute_penalty,scoring_final_score
2,54100,23959,30141,0.4429,0.5571,645,0.0119,0.2727344,199,112,23830,29918,0,0.005753,535,0.009896594461606763,3000,False,1185.7647887951207,False,2004.5142257029518,-818.749436907831,4185.764788795121
20,54100,23959,30141,0.4429,0.5571,645,0.0119,0.45807001999999986,18,2,23940,30099,0,0.00037,24,0.0004439593777169389,3000,False,2580.617997398389,False,3000,-419.38200260161125,5580.617997398389
24,54100,23959,30141,0.4429,0.5571,645,0.0119,0.5291389999999995,14,2,23940,30103,0,0.000296,20,0.0003699661480974491,3000,False,2603.334211579824,False,3000,-396.6657884201758,5603.334211579824
10,54100,23959,30141,0.4429,0.5571,645,0.0119,0.36155339999999997,33,5,23937,30084,0,0.000703,48,0.0008879187554338778,3000,False,2492.941175991446,False,3000,-507.0588240085541,5492.941175991446
15,54100,23959,30141,0.4429,0.5571,645,0.0119,0.5687994399999983,25,3,23939,30092,0,0.000518,34,0.0006289424517656635,3000,False,2536.7795866949173,False,3000,-463.2204133050826,5536.779586694917
15,54100,23959,30141,0.4429,0.5571,645,0.0119,0.4665206599999992,25,3,23939,30092,0,0.000518,34,0.0006289424517656635,3000,False,2536.7795866949173,False,3000,-463.2204133050826,5536.779586694917
20,54100,23959,30141,0.4429,0.5571,645,0.0119,0.3849659999999996,11,10,23932,30106,0,0.000388,,0.0007584306035997706,3000,false,2513.0252128806296,false,3000,-486.97478711937015,5513.02521288063
25,54100,23959,30141,0.4429,0.5571,645,0.0119,0.5379736099999984,19,2,23940,30099,0,0.000388,,0.0004624491305956345,3000,false,2575.5079956087548,false,3000,-424.4920043912454,5575.507995608755
30,54100,23959,30141,0.4429,0.5571,645,0.0119,0.5853859999999996,15,2,23940,30102,0,0.000314,,0.00038846445550232156,3000,false,2597.273195753338,false,3000,-402.7268042466619,5597.273195753338
40,54100,23959,30141,0.4429,0.5571,645,0.0119,0.6792954199999987,10,0,23942,30107,0,0.000185,,0.00018498307404872454,3000,false,2687.5821944525323,false,3000,-312.41780554746754,5687.582194452532
